"","ID","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65"
"1","ES-000164-01","olf","olf","olf","olf","ft","ft","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"2","ES-000378-01","pt","pt","pt","pt","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"3","ES-000378-02","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"4","ES-000651-01","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft"
"5","ES-000651-02","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"6","ES-001526-01","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"7","ES-001526-02","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"8","ES-002808-01","ft","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","pt","olf","olf","olf","olf","olf"
"9","ES-003038-01","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"10","ES-003038-02","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
