"","ID","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65"
"1","ES-000164-01","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","s1c","s1c","s1c","s1c","s1c","s1c","s1c","s1c","s1c","s1c","s1c","s1c","s1c","s1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c"
"2","ES-000378-01","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","m1c","m1c","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"3","ES-000378-02","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","m1c","m1c","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"4","ES-000651-01","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"5","ES-000651-02","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"6","ES-001526-01","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc"
"7","ES-001526-02","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc","mnc"
"8","ES-002808-01","snc","snc","snc","snc","snc","snc","snc","mnc","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"9","ES-003038-01","snc","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","mnc","m1c","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"10","ES-003038-02","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","mnc","m1c","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"11","ES-004981-01","snc","snc","snc","snc","snc","snc","snc","wnc","wnc","wnc","mnc","m1c","m1c","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"12","ES-006643-01","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"13","ES-007379-01","snc","snc","snc","snc","snc","snc","mnc","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"14","ES-007379-02","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","m1c","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"15","ES-008084-01","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc"
"16","ES-009467-01","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","w2c","w2c","w2c","m2c"
"17","ES-009467-02","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","mnc"
"18","ES-009699-01","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","mnc","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","d1c","d1c","d1c","d1c","d1c","d1c","d1c","d1c","d1c","d1c","d1c","d1c","d1c","d1c","d1c","d1c","d1c","d1c","d1c"
"19","ES-010621-01","snc","snc","snc","snc","snc","snc","snc","snc","mnc","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c"
"20","ES-010621-02","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","mnc","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c","m1c"
"21","ES-011282-01","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","m1c","m1c","m1c","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","d2c","d2c","d2c","d2c","d2c","d2c","d2c","d2c","d2c","d2c","d2c","d2c","d2c"
"22","ES-011657-01","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","mnc","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"23","ES-011657-02","snc","snc","snc","snc","snc","snc","snc","snc","mnc","mnc","mnc","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
"24","ES-012164-03","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc"
"25","ES-013316-01","snc","snc","snc","snc","snc","snc","mnc","mnc","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","w2c","w2c","w2c","w2c","w2c","w2c","w2c","w2c","w2c","w2c","w2c","w2c","w2c","w2c","w2c","w2c"
"26","ES-014680-01","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","snc","m1c","m1c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c","m2c"
